"Laikotarpis","Rodiklis","Tipas","Lytis","Sektorius","Matavimo vienetai","Reikšmė"
"2016","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","774.0"
"2016","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Viešasis sektorius","EUR","800.2"
"2016","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","761.3"
"2016","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Šalies ūkis su individualiosiomis įmonėmis","EUR","840.9"
"2016","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Viešasis sektorius","EUR","901.2"
"2016","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Privatusis sektorius su individualiosiomis įmonėmis","EUR","822.9"
"2016","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","709.7"
"2016","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Viešasis sektorius","EUR","747.0"
"2016","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","682.9"
"2017","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","840.4"
"2017","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Viešasis sektorius","EUR","854.8"
"2017","Darbo užmokestis (mėnesinis)","Bruto","Vyrai ir moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","833.7"
"2017","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Šalies ūkis su individualiosiomis įmonėmis","EUR","910.1"
"2017","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Viešasis sektorius","EUR","964.8"
"2017","Darbo užmokestis (mėnesinis)","Bruto","Vyrai","Privatusis sektorius su individualiosiomis įmonėmis","EUR","894.5"
"2017","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Šalies ūkis su individualiosiomis įmonėmis","EUR","772.5"
"2017","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Viešasis sektorius","EUR","797.5"
"2017","Darbo užmokestis (mėnesinis)","Bruto","Moterys","Privatusis sektorius su individualiosiomis įmonėmis","EUR","754.7"
